id,gruppe_id,teilnehmer_id,fach,datum,thema,bemerkung,wochentag,day_number,lehrkraft_id,id_mtr_rueckkopplung_datenmaske,mtr_rueckkopplung_datenmaske_values_id,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,sum_kognition,sum_sozial,sum_affektiv,sum_motivation,sum_methodik,sum_performanz,sum_regulation,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,operator_count,modulator_count,has_operator,operator_names,modulator_names,x_vector,sum_vector,vector_norm_x,vector_norm_sum,operator_list,modulator_list,sequence_index,has_previous_state,prev_id,delta_vector,delta_norm,delta_d_semantisch,cosine_prev_current,resonance_change,polaritaet_change,dominanz_change,dominanz_from,dominanz_to
824,0,2,MAT,2024-11-28,weitere Themen: HA / Elektrizitätslehre Grundlagen,Elektrizitätslehre muss unbedingt neu gelernt werden | Absprachen einhaltendfleißig / bemühtarbeitet selbstständigLernfortschritt erzieltUnverständnis,4,3,1,820,1257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0,0.0,1,0,1,unbedingt,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,['unbedingt'],[],0,0,,,,,,,0,0,,
751,0,2,MAT,2025-10-23,Geometrie: SdP,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",4,3,1,743,1129,0.57065609830007,0.061680906507123,0.098417161158226,0.35536178558859,0.45537212052641,0.40162071683407,0.40732235788888,2.4410982889583,0.26385270530616,0.42099955546457,1.5201327898634,1.9479474723353,1.7180148386995,1.7424047755889,7,5,kognition,2.4410982889583,1,4.2776947265947,0,0,0,,,"[0.57065609830007, 0.061680906507123, 0.098417161158226, 0.35536178558859, 0.45537212052641, 0.40162071683407, 0.40732235788888]","[2.4410982889583, 0.26385270530616, 0.42099955546457, 1.5201327898634, 1.9479474723353, 1.7180148386995, 1.7424047755889]",0.9999976622977391,4.27769472659468,[],[],1,1,824.0,"[2.4410982889583, 0.26385270530616, 0.42099955546457, 1.5201327898634, 1.9479474723353, 1.7180148386995, 1.7424047755889]",4.27769472659468,4.2776947265947,,,1,1,,kognition
752,0,2,MAT,2025-10-23,Geometrie: SdP,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",4,3,1,743,1130,0.53695655381115,0.12160901291853,0.19430850592622,0.27023992750622,0.42310320660401,0.44252841115942,0.45961902581514,1.752927244018,0.397,0.63433190518851,0.8822146372641,1.3812460852249,1.4446608439128,1.5004541922468,4,3,kognition,1.752927244018,1,3.2645506643148,0,0,0,,,"[0.53695655381115, 0.12160901291853, 0.19430850592622, 0.27023992750622, 0.42310320660401, 0.44252841115942, 0.45961902581514]","[1.752927244018, 0.397, 0.63433190518851, 0.8822146372641, 1.3812460852249, 1.4446608439128, 1.5004541922468]",0.999996936800682,3.264550664314862,[],[],2,1,751.0,"[-0.6881710449403002, 0.13314729469384, 0.21333234972394, -0.6379181525993001, -0.5667013871104001, -0.2733539947867001, -0.24195058334210007]",1.1824427273366078,-1.0131440622799004,0.9866911372712195,0.013308862728780513,0,0,kognition,kognition
753,0,2,MAT,2025-10-23,Geometrie: SdP,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",4,3,1,743,1131,0.35697457681494,0.30867452774446,-0.051124322883014,0.44905706607895,0.45666641004076,0.36400878395462,0.48163350420338,1.2298388137879,1.063436837533,-0.17613208529062,1.5470788267252,1.5732943254176,1.2540728672092,1.6593102589405,5,5,regulation,1.6593102589405,1,3.445161991689,0,0,0,,,"[0.35697457681494, 0.30867452774446, -0.051124322883014, 0.44905706607895, 0.45666641004076, 0.36400878395462, 0.48163350420338]","[1.2298388137879, 1.063436837533, -0.17613208529062, 1.5470788267252, 1.5732943254176, 1.2540728672092, 1.6593102589405]",0.9999970973872955,3.445161991688979,[],[],3,1,752.0,"[-0.5230884302301, 0.6664368375329999, -0.81046399047913, 0.6648641894611, 0.19204824019269995, -0.19058797670359984, 0.1588560666937]",1.3838704375421766,0.18061132737420005,0.9163113411673431,0.08368865883265686,0,1,kognition,regulation
754,0,2,MAT,2025-10-23,Geometrie: SdP,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",4,3,1,743,1132,0.42538068645846,0.16763770894915,0.25145656342372,0.61187763766439,0.0,0.52386784046609,0.28079316248982,0.203,0.08,0.12,0.292,0.0,0.25,0.134,1,1,motivation,0.292,1,0.47720959755646,0,0,0,,,"[0.42538068645846, 0.16763770894915, 0.25145656342372, 0.61187763766439, 0.0, 0.52386784046609, 0.28079316248982]","[0.203, 0.08, 0.12, 0.292, 0.0, 0.25, 0.134]",0.9999790452863758,0.47720959755646153,[],[],4,1,753.0,"[-1.0268388137878999, -0.9834368375329999, 0.29613208529061996, -1.2550788267252, -1.5732943254176, -1.0040728672092, -1.5253102589404999]",3.0813068297780384,-2.96795239413254,0.7914587838148172,0.20854121618518284,0,1,regulation,motivation
755,0,2,MAT,2025-10-23,Geometrie: SdP,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | Selbstständigkeit hat sich in den letzten Wochen verbessert | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | ist zugänglich für spontane Wiederholungen | findet gelegentlich eigenständig Lösungsansätze",4,3,1,743,1133,0.43631034728331,0.1180046765747,0.10514865737317,0.42125288148312,0.36060760730328,0.44446342445796,0.52877870289535,1.6016970901272,0.43319565595442,0.38600115627335,1.5464210708738,1.3237920184376,1.6316270701689,1.9411488061702,3,3,regulation,1.9411488061702,1,3.6709941375368,1,0,1,gelegentlich,,"[0.43631034728331, 0.1180046765747, 0.10514865737317, 0.42125288148312, 0.36060760730328, 0.44446342445796, 0.52877870289535]","[1.6016970901272, 0.43319565595442, 0.38600115627335, 1.5464210708738, 1.3237920184376, 1.6316270701689, 1.9411488061702]",0.9999972759496778,3.670994137536805,['gelegentlich'],[],5,1,754.0,"[1.3986970901272, 0.35319565595442, 0.26600115627335, 1.2544210708738, 1.3237920184376, 1.3816270701689, 1.8071488061702001]",3.263822151443193,3.19378453998034,0.8709137273665107,0.12908627263348926,0,1,motivation,regulation
724,0,4,ENG,2025-09-02,Lineare Funktion/Gleichung: VorbLK,"kann Gelerntes nur teilweise auf andere Fächer oder den Alltag übertragen | Ausdauer hat sich geringfügig verbessert | kann die Vorgehensweise einer behandelten Beispielaufgabe noch nicht auf andere Aufgaben übertragen | schlägt selten sinnvolle Übungen oder Themen vor, an denen er arbeiten möchte | arbeitet wenig konsequent auf langfristige Ziele hin, bei denen sofortige Erfolge gelegentlich ausbleiben | nur 30'/keine Vorb mgl",2,1,1,736,1102,0.53891553517106,0.035976939506018,0.095600382905333,0.34663014681735,0.46494090479967,0.46730541134064,0.38004367486155,1.7309928114047,0.11555767016716,0.30706774026126,1.113373531098,1.4933868322812,1.500981610234,1.2206975421414,4,2,kognition,1.7309928114047,1,3.211982786319,2,1,1,"nur, teilweise",teilweise,"[0.53891553517106, 0.035976939506018, 0.095600382905333, 0.34663014681735, 0.46494090479967, 0.46730541134064, 0.38004367486155]","[1.7309928114047, 0.11555767016716, 0.30706774026126, 1.113373531098, 1.4933868322812, 1.500981610234, 1.2206975421414]",0.9999968866679764,3.211982786319002,"['nur', 'teilweise']",['teilweise'],0,0,,,,,,,0,0,,kognition
725,0,4,ENG,2025-09-02,Lineare Funktion/Gleichung: VorbLK,"kann Gelerntes nur teilweise auf andere Fächer oder den Alltag übertragen | Ausdauer hat sich geringfügig verbessert | kann die Vorgehensweise einer behandelten Beispielaufgabe noch nicht auf andere Aufgaben übertragen | schlägt selten sinnvolle Übungen oder Themen vor, an denen er arbeiten möchte | arbeitet wenig konsequent auf langfristige Ziele hin, bei denen sofortige Erfolge gelegentlich ausbleiben | nur 30'/keine Vorb mgl",2,1,1,736,1103,0.18999154155255,0.33325634858939,0.30542652944911,0.56083821438656,0.18777796587472,0.51301237346844,0.38284139084722,0.43365533207716,0.76065698153398,0.69713547230097,1.2801121571725,0.4286028498045,1.17094976628,0.8738347461369,3,3,motivation,1.2801121571725,1,2.2824880971967,0,0,0,,,"[0.18999154155255, 0.33325634858939, 0.30542652944911, 0.56083821438656, 0.18777796587472, 0.51301237346844, 0.38284139084722]","[0.43365533207716, 0.76065698153398, 0.69713547230097, 1.2801121571725, 0.4286028498045, 1.17094976628, 0.8738347461369]",0.9999956188353447,2.282488097196638,[],[],1,1,724.0,"[-1.29733747932754, 0.64509931136682, 0.39006773203970996, 0.16673862607450007, -1.0647839824767, -0.330031843954, -0.3468627960044999]",1.908452778669772,-0.9294946891223002,0.810522901623898,0.18947709837610205,0,1,kognition,motivation
726,0,4,ENG,2025-09-02,Lineare Funktion/Gleichung: VorbLK,"kann Gelerntes nur teilweise auf andere Fächer oder den Alltag übertragen | Ausdauer hat sich geringfügig verbessert | kann die Vorgehensweise einer behandelten Beispielaufgabe noch nicht auf andere Aufgaben übertragen | schlägt selten sinnvolle Übungen oder Themen vor, an denen er arbeiten möchte | arbeitet wenig konsequent auf langfristige Ziele hin, bei denen sofortige Erfolge gelegentlich ausbleiben | nur 30'/keine Vorb mgl",2,1,1,736,1104,-0.045064875860352,0.036913149846499,-0.11263625383988,0.53921073390568,0.19704523588595,0.52287806556497,0.61718503151163,-0.034966941279592,0.028641817346333,-0.087397228967793,0.41838681922109,0.15289222617629,0.40571390170151,0.47888898712129,3,2,regulation,0.47888898712129,1,0.77591450022383,1,0,1,nicht,,"[-0.045064875860352, 0.036913149846499, -0.11263625383988, 0.53921073390568, 0.19704523588595, 0.52287806556497, 0.61718503151163]","[-0.034966941279592, 0.028641817346333, -0.087397228967793, 0.41838681922109, 0.15289222617629, 0.40571390170151, 0.47888898712129]",0.9999871121481563,0.775914500223833,['nicht'],[],2,1,725.0,"[-0.468622273356752, -0.732015164187647, -0.784532701268763, -0.86172533795141, -0.27571062362820997, -0.7652358645784899, -0.39494575901561]",1.7120454380936605,-1.5065735969728697,0.8132891729417212,0.1867108270582788,0,1,motivation,regulation
727,0,4,ENG,2025-09-02,Lineare Funktion/Gleichung: VorbLK,"kann Gelerntes nur teilweise auf andere Fächer oder den Alltag übertragen | Ausdauer hat sich geringfügig verbessert | kann die Vorgehensweise einer behandelten Beispielaufgabe noch nicht auf andere Aufgaben übertragen | schlägt selten sinnvolle Übungen oder Themen vor, an denen er arbeiten möchte | arbeitet wenig konsequent auf langfristige Ziele hin, bei denen sofortige Erfolge gelegentlich ausbleiben | nur 30'/keine Vorb mgl",2,1,1,736,1105,0.43867325516652,0.04495104170913,0.097467221646455,0.41063104598145,0.38849258744244,0.50999194355286,0.46519286477064,1.8318439694488,0.1877098585462,0.40701077644729,1.7147432545529,1.6222958548313,2.1296617818885,1.9425865012838,5,4,performanz,2.1296617818885,1,4.1758633815523,1,0,1,selten,,"[0.43867325516652, 0.04495104170913, 0.097467221646455, 0.41063104598145, 0.38849258744244, 0.50999194355286, 0.46519286477064]","[1.8318439694488, 0.1877098585462, 0.40701077644729, 1.7147432545529, 1.6222958548313, 2.1296617818885, 1.9425865012838]",0.9999976052913757,4.175863381552325,['selten'],[],3,1,726.0,"[1.8668109107283921, 0.159068041199867, 0.494408005415083, 1.29635643533181, 1.46940362865501, 1.7239478801869903, 1.46369751416251]",3.564943005415611,3.3999488813284695,0.8226657134474548,0.17733428655254524,0,1,regulation,performanz
